County,Abbreviation
Arkansas,AR
Ashley,AS
Baxter,BA
Benton,BE
Boone,BO
Bradley,BR
Calhoun,CA
Carroll,CR
Chicot,CH
Clark,CL
Clay,CY
Cleburne,CE
Cleveland,CV
Columbia,CO
Conway,CN
Craighead,CG
Crawford,CW
Crittenden,CT
Cross,CS
Dallas,DA
Desha,DE
Drew,DR
Faulkner,FA
Franklin,FR
Fulton,FU
Garland,GA
Grant,GR
Greene,GE
Hempstead,HE
Hot Spring,HS
Howard,HO
Independence,IN
Izard,IZ
Jackson,JA
Jefferson,JE
Johnson,JO
Lafayette,LA
Lawrence,LW
Lee,LE
Lincoln,LI
Little River,LR
Logan,LO
Lonoke,LN
Madison,MA
Marion,MR
Miller,MI
Mississippi,MS
Monroe,MO
Montgomery,MN
Nevada,NE
Newton,NW
Ouachita,OU
Perry,PE
Phillips,PH
Pike,Pl
Poinsett,PO
Polk,PL
Pope,PP
Prairie,PR
Pulaski,PU
Randolph,RA
St. Francis,SF
Saline,SA
Scott,SC
Searcy,SE
Sebastian,SB
Sevier,SV
Sharp,SH
Stone,ST
Union,UN
Van Buren,VB
Washington,WA
White,WH
Woodruff,WO
Yell,YE
