County,Abbreviation
Adams,AM
Alamosa,AL
Arapahoe,AH
Archuleta,AA
Baca,BA
Bent,BN
Boulder,BL
Broomfield,BF
Chaffee,CF
Cheyenne,CH
Clear Creek,CC
Conejos,CN
Costilla,CT
Crowley,CW
Custer,CR
Douglas,DA
Dolores,DL
Delta,DT
Denver,DV
Eagle,EA
El Paso,EP
Elbert,EL
Fremont,FN
Garfield,GF
Gilpin,GL
Grand,GA
Gunnison,GN
Hinsdale,HN
Huerfano,HF
Jackson,JA
Jefferson,JF
Kiowa,KW
Kit Carson,KC
La Plata,LP
Lake,LK
Larimer,LR
Las Animas,LA
Lincoln,LN
Logan,LO
Mesa,ME
Mesa Verde National Park,MV
Mineral,ML
Moffat,MF
Montezuma,MT
Montrose,MN
Morgan,MR
Otero,OT
Ouray,OR
Park,PA
Phillips,PL
Pitkin,PT
Prowers,PW
Pueblo,PE
Rio Blanco,RB
Rio Grande,RN
Routt,RT
Saguache,SH
San Juan,SA
San Miguel,SM
Sedgwick,SW
Summit,ST
Teller,TL
Washington,WN
Weld,WL
Yuma,YM
