County,Abbreviation
Alachua,AL
Baker,BA
Bay,BY
Bradford,BF
Brevard,BR
Broward,BD
Calhoun,CA
Charlotte,CH
Citrus,CI
Clay,CL
Collier,CR
Columbia,CO
Miami-Dade,DA
DeSoto,DE
Dixie,DI
Duval,DU
Escambia,ES
Flagler,FL
Franklin,FR
Gadsden,GD
Gilchrist,GI
Glades,GL
Gulf,GU
Hamilton,HA
Hardee,HR
Hendry,HN
Hernando,HE
Highlands,HG
Hillsborough,HI
Holmes,HO
Indian River,IR
Jackson,JA
Jefferson,JE
Lafayette,LF
Lake,LA
Lee,LL
Leon,LE
Levy,LV
Liberty,LI
Madison,MD
Manatee,MA
Marion,MR
Martin,MT
Monroe,MO
Nassau,NA
Okaloosa,OK
Okeechobee,OB
Orange,OR
Osceola,OS
Palm Beach,PB
Pasco,PA
Pinellas,PI
Polk,PO
Putnam,PU
St. Johns,SJ
St. Lucie,SL
Santa Rosa,SR
Sarasota,SO
Seminole,SE
Sumter,SM
Suwannee,SU
Taylor,TA
Union,UN
Volusia,VO
Wakulla,WA
Walton,WL
Washington,WS
