County,Abbreviation
Appling,AP
Atkinson,AT
Bacon,BC
Baker,BX
Baldwin,BL
Banks,BA
Barrow,BW
Bartow,BR
Ben Hill,BH
Berrien,BE
Bibb,BI
Bleckley,BY
Brantley,BT
Brooks,BO
Bryan,BN
Bulloch,BU
Burke,BK
Butts,BS
Calhoun,CU
Camden,CM
Candler,CZ
Carroll,CL
Catoosa,CT
Charlton,CR
Chatham,CH
Chattahoochee,CE
Chattooga,CG
Cherokee,CK
Clarke,CA
Clay,CY
Clayton,CN
Clinch,CI
Cobb,CO
Coffee,CF
Colquitt,CQ
Columbia,CB
Cook,CX
Coweta,CW
Crawford,CD
Crisp,CP
Dade,DD
Dawson,DW
Decatur,DR
DeKalb,DA
Dodge,DG
Dooly,DY
Dougherty,DU
Douglas,DO
Early,ER
Echols,EC
Effingham,EF
Elbert,EB
Emanuel,EM
Evans,EV
Fannin,FN
Fayette,FY
Floyd,FL
Forsyth,FO
Franklin,FK
Fulton,FU
Gilmer,GI
Glascock,GL
Glynn,GN
Gordon,GO
Grady,GR
Greene,GE
Gwinnett,GW
Habersham,HM
Hall,HL
Hancock,HK
Haralson,HR
Harris,HS
Hart,HA
Heard,HE
Henry,HY
Houston,HT
Irwin,IR
Jackson,JK
Jasper,JA
Jeff Davis,JD
Jefferson,JF
Jenkins,JS
Johnson,JH
Jones,JO
Lamar,LR
Lanier,LN
Laurens,LS
Lee,LE
Liberty,LI
Lincoln,LC
Long,LG
Lowndes,LW
Lumpkin,LU
McDuffie,MF
McIntosh,MC
Macon,MA
Madison,MD
Marion,MR
Meriwether,MW
Miller,MI
Mitchell,ML
Monroe,MO
Montgomery,MY
Morgan,MG
Murray,MU
Muscogee,ME
Newton,NE
Oconee,OC
Oglethorpe,OG
Paulding,PA
Peach,PE
Pickens,PI
Pierce,PR
Pike,PK
Polk,PO
Pulaski,PU
Putnam,PM
Quitman,QU
Rabun,RA
Randolph,RH
Richmond,RI
Rockdale,RO
Schley,SH
Screven,SN
Seminole,SE
Spalding,SP
Stephens,ST
Stewart,SW
Sumter,SU
Talbot,TA
Taliaferro,TL
Tattnall,TT
Taylor,TR
Telfair,TF
Terrell,TE
Thomas,TH
Tift,TI
Toombs,TS
Towns,TO
Treutlen,TU
Troup,TP
Turner,TN
Twiggs,TW
Union,UN
Upson,UP
Walker,WA
Walton,WN
Ware,WE
Warren,WR
Washington,WG
Wayne,WY
Webster,WB
Wheeler,WL
White,WH
Whitfield,WD
Wilcox,WI
Wilkes,WS
Wilkinson,WK
Worth,WO
