CELL_NAME,island,quad
Ahumoa,10,22
Akaka Falls,10,25
Alika Cone,10,58
Anaehoomalu,10,10
Anahola,30,04
Ewa,80,12
Garden of the Gods,40,98
Haalelepaakai,40,98
Haena,30,02
Haiku,50,06
Halalii Lake,70,99
Halawa,60,05
Haleiwa,80,04
Hana,50,13
Hanalei,30,03
Hanapepe,30,09
Hauula,80,05
Hawi,10,02
Hilo,10,35
Honaunau,10,47
Honokaa,10,08
Honokane,10,03
Honolulu,80,14
Honuaula Valley,70,99
Hualalai,10,29
Ilio Point,60,01
Kaena,80,03
Kahakuloa,50,02
Kahana,80,06
Kahoolawe East,20,97
Kahoolawe West,20,97
Kahuku,80,02
Kahuku Ranch,10,73
Kailua,10,28
Kalae,10,76
Kalalua,10,54
Kalanei,70,99
Kalapana,10,63
Kamalo,60,04
Kamuela,10,06
Kaneohe,80,10
Kapaa,30,08
Kapoho,10,46
Kau Desert,10,61
Kauluoa Point,10,56
Kaunakakai,60,03
Kaunene,10,48
Kaupo,50,16
Kawaihae,10,05
Keaau Ranch,10,36
Keahole Point,10,27
Kealakekua,10,37
Keamuku,10,21
Keanae,50,07
Keanakolu,10,15
Keanauhi Valley,70,99
Keawanui Bay,10,04
Kekaha,30,05
Kiholo,10,19
Kilauea Crater,10,52
Kilohana,50,11
Kipahulu,50,17
Kipukapakekake,10,51
Koko Head,80,15
Kokoolau,10,40
Koloa,30,10
Kukaiau,10,09
Kukuihaele,10,07
Kulani,10,42
Lahaina,50,03
Lanai,40,98
Lihue,30,11
Lualailua Hills,50,15
Maalaea,50,09
Mahukona,10,01
Makaha Point,30,01
Makahalau,10,13
Makalau,40,98
Makalawena,10,18
Makaopuhi Crater,10,62
Makena,50,14
Manuka Bay,10,71
Mauna Kea,10,23
Mauna Loa,10,50
Milolii,10,65
Mokapu Point,80,11
Molokai Airport,60,02
Mountain View,10,44
Naalehu,10,74
Nahiku,50,12
Naliikakani Point,10,70
Naohuleelua,10,30
Napili,50,01
Nohonaohae,10,12
Olowalu,50,08
Pahala,10,69
Pahoa North,10,45
Pahoa South,10,55
Paia,50,05
Papa,10,66
Papaaloa,10,16
Papaikou,10,26
Pearl Harbor,80,13
Piihonua,10,34
Pohue Bay,10,72
Puaakala,10,24
Punaluu,10,68
Puu Anahulu,10,20
Puu Hinai,10,11
Puu Hou,10,75
Puu Makaala,10,43
Puu o Kali,50,10
Puu O Keokeo,10,67
Puukinikini,10,59
Puukoli,10,31
Puulehua,10,38
Puuoo,10,32
Puuouo,10,39
Puupohakuloa,10,57
Puuulaula,10,41
Schofield Barracks,80,08
Sulphur Cone,10,49
Umikoa,10,14
Volcano,10,53
Waialeale,30,07
Waianae,80,07
Waikoloa Ponds,10,33
Wailuku,50,04
Waimea,80,01
Waimea Canyon,30,06
Waipahu,80,09
Wood Valley,10,60
