County,Abbreviation
Adams,A
Alexander,Ax
Bond,B
Boone,Bo
Brown,Br
Bureau,Bu
Calhoun,C
Carroll,Ca
Cass,Cs
Champaign,Ch
Christian,Cn
Clark,Cl
Clay,Cy
Clinton,Ct
Coles,Co
Cook,Ck
Crawford,Cw
Cumberland,Cu
DeKalb,D
De Witt,Dw
Douglas,Do
DuPage,Du
Edgar,E
Edwards,Ed
Effingham,Ef
Fayette,Fy
Ford,Fo
Franklin,Fk
Fulton,F
Gallatin,G
Greene,Ge
Grundy,Gr
Hamilton,H
Hancock,Ha
Hardin,Hn
Henderson,He
Henry,Hy
Iroquois,I
Jackson,J
Jasper,Jp
Jefferson,Jn
Jersey,Jy
Jo Daviess,Jd
Johnson,Js
Kane,K
Kankakee,Ka
Kendall,Ke
Knox,Kx
Lake,L
LaSalle,Ls
Lawrence,Lw
Lee,Le
Livingston,Li
Logan,Lo
Macon,M
Macoupin,Mp
Madison,Ms
Marion,Mr
Marshall,Ma
Mason,Mn
Massac,Mx
McDonough,Md
McHenry,Mh
McLean,Ml
Menard,Me
Mercer,Mc
Monroe,Mo
Montgomery,My
Morgan,Mg
Moultrie,Mt
Ogle,Og
Peoria,P
Perry,Py
Piatt,Pi
Pike,Pk
Pope,Pp
Pulaski,Pu
Putnam,Pm
Randolph,R
Richland,Rd
Rock Island,Ri
Saline,Sa
Sangamon,Sg
Schuyler,Sc
Scott,St
Shelby,Sy
St. Clair,S
Stark,Sk
Stephenson,Sh
Tazewell,T
Union,U
Vermilion,V
Wabash,W
Warren,Wa
Washington,Wg
Wayne,Wy
White,Wh
Whiteside,Wt
Will,Wi
Williamson,Wm
Winnebago,Wo
Woodford,Wd
