County,Abbreviation
Adair,AD
Adams,AA
Allamakee,AM
Appanoose,AN
Audubon,AB
Benton,BE
Black Hawk,BH
Boone,BN
Bremer,BM
Buchanan,BC
Buena Vista,BV
Butler,BT
Calhoun,CH
Carroll,CR
Cass,CA
Cedar,CD
Cerro Gordo,CE
Cherokee,CK
Chickasaw,CW
Clarke,CL
Clay,CY
Clayton,CT
Clinton,CN
Crawford,CF
Dallas,DA
Davis,DV
Decatur,DT
Delaware,DW
Des Moines,DM
Dickinson,DK
Dubuque,DB
Emmet,ET
Fayette,FT
Floyd,FD
Franklin,FN
Fremont,FM
Greene,GR
Grundy,GN
Guthrie,GT
Hamilton,HM
Hancock,HK
Hardin,HA
Harrison,HR
Henry,HN
Howard,HW
Humboldt,HB
Ida,IA
Iowa,IW
Jackson,JK
Jasper,JP
Jefferson,JF
Johnson,JH
Jones,JN
Keokuk,KK
Kossuth,KH
Lee,LE
Linn,LN
Louisa,LA
Lucas,LC
Lyon,LO
Madison,MD
Mahaska,MK
Marion,MA
Marshall,MR
Mills,ML
Mitchell,MT
Monona,MN
Monroe,MO
Montgomery,MM
Muscatine,MC
O'Brien,OB
Osceola,OA
Page,PA
Palo Alto,PL
Plymouth,PM
Pocahontas,PT
Polk,PK
Pottawattamie,PW
Poweshiek,PH
Ringgold,RN
Sac,SA
Scott,ST
Shelby,SH
Sioux,SX
Story,SR
Tama,TM
Taylor,TA
Union,UN
Van Buren,VB
Wapello,WP
Warren,WA
Washington,WS
Wayne,WE
Webster,WB
Winnebago,WN
Winneshiek,WH
Woodbury,WD
Worth,WT
Wright,WR
