County,Abbreviation
Adair       ,AD
Allen       ,AL
Anderson    ,AN
Ballard     ,BA
Barren      ,BN
Bath        ,BH
Bell        ,BL
Boone       ,BE
Bourbon     ,BB
Boyd        ,BD
Boyle       ,BO
Bracken     ,BK
Breathitt   ,BR
Breckinridge,BC
Bullitt     ,BU
Butler      ,BT
Caldwell    ,CA
Calloway    ,CW
Campbell    ,CP
Carlisle    ,CE
Carroll     ,CL
Carter      ,CR
Casey       ,CS
Christian   ,CH
Clark       ,CK
Clay        ,CY
Clinton     ,CT
Crittenden  ,CN
Cumberland  ,CU
Daviess     ,DA
Edmonson    ,ED
Elliott     ,EL
Estill      ,ES
Fayette     ,FA
Fleming     ,FL
Floyd       ,FD
Franklin    ,FR
Fulton      ,FU
Gallatin    ,GA
Garrard     ,GD
Grant       ,GR
Graves      ,GV
Grayson     ,GY
Green       ,GN
Greenup     ,GP
Hancock     ,HA
Hardin      ,HD
Harlan      ,HL
Harrison    ,HR
Hart        ,HT
Henderson   ,HE
Henry       ,HY
Hickman     ,HI
Hopkins     ,HK
Jackson     ,JA
Jefferson   ,JF
Jessamine   ,JS
Johnson     ,JO
Kenton      ,KE
Knott       ,KT
Knox        ,KX
Larue       ,LU
Laurel      ,LL
Lawrence    ,LA
Lee         ,LE
Leslie      ,LS
Letcher     ,LR
Lewis       ,LW
Lincoln     ,LI
Livingston  ,LV
Logan       ,LO
Lyon        ,LY
McCracken   ,MCN
McCreary    ,MCY
McLean      ,MCL
Madison     ,MA
Magoffin    ,MG
Marion      ,MN
Marshall    ,ML
Martin      ,MT
Mason       ,MS
Meade       ,MD
Menifee     ,MF
Mercer      ,ME
Metcalfe    ,MC
Monroe      ,MR
Montgomery  ,MM
Morgan      ,MO
Muhlenberg  ,MU
Nelson      ,NE
Nicholas    ,NI
Ohio        ,OH
Oldham      ,OL
Owen        ,ON
Owsley      ,OW
Pendleton   ,PD
Perry       ,PE
Pike        ,PI
Powell      ,PO
Pulaski     ,PU
Robertson   ,RB
Rockcastle  ,RK
Rowan       ,RO
Russell     ,RU
Scott       ,SC
Shelby      ,SH
Simpson     ,SI
Spencer     ,SP
Taylor      ,TA
Todd        ,TO
Trigg       ,TR
Trimble     ,TM
Union       ,UN
Warren      ,WA
Washington  ,WS
Wayne,WN
Webster,WE
Whitley,WH
Wolfe,WO
Woodford,WD
,  
