CELL_MAPCODE,quad
42070-H5,191
42070-H6,191
43068-G6,19
43068-G7,19
43068-G8,19
43068-H6,19
43068-H7,19
43068-H8,19
43069-F7,10
43069-F8,10
43069-G1,18
43069-G2,18
43069-G3,17
43069-G4,17
43069-G5,16
43069-G6,16
43069-G7,15
43069-G8,15
43069-H1,18
43069-H2,18
43069-H3,17
43069-H4,17
43069-H5,16
43069-H6,16
43069-H7,15
43069-H8,15
43070-A5,191
43070-A6,2
43070-A7,1
43070-B5,2
43070-B6,2
43070-B7,1
43070-C4,5
43070-C5,4
43070-C6,4
43070-C7,3
43070-C8,3
43070-D3,5
43070-D4,5
43070-D5,4
43070-D6,4
43070-D7,3
43070-D8,3
43070-E2,9
43070-E3,8
43070-E4,8
43070-E5,7
43070-E6,7
43070-E7,6
43070-E8,6
43070-F1,9
43070-F2,9
43070-F3,8
43070-F4,8
43070-F5,7
43070-F6,7
43070-F7,6
43070-F8,6
43070-G1,14
43070-G2,14
43070-G3,13
43070-G4,13
43070-G5,12
43070-G6,12
43070-G7,11
43070-G8,11
43070-H1,14
43070-H2,14
43070-H3,13
43070-H4,13
43070-H5,12
43070-H6,12
43070-H7,11
43070-H8,11
44066-G8,80
44066-H8,80
44067-C7,45
44067-C8,45
44067-D5,46
44067-D6,46
44067-D7,45
44067-D8,45
44067-E1,63
44067-E2,63
44067-E3,62
44067-E4,62
44067-E5,61
44067-E6,61
44067-E7,60
44067-E8,60
44067-F1,63
44067-F2,63
44067-F3,62
44067-F4,62
44067-F5,61
44067-F6,61
44067-F7,60
44067-F8,60
44067-G1,80
44067-G2,80
44067-G3,79
44067-G4,79
44067-G5,78
44067-G6,78
44067-G7,77
44067-G8,77
44067-H1,80
44067-H2,80
44067-H3,79
44067-H4,79
44067-H5,78
44067-H6,78
44067-H7,77
44067-H8,77
44068-A3,31
44068-A4,31
44068-A5,30
44068-A6,30
44068-A7,29
44068-A8,29
44068-B2,31
44068-B3,31
44068-B4,31
44068-B5,30
44068-B6,30
44068-B7,29
44068-B8,29
44068-C1,44
44068-C2,44
44068-C3,43
44068-C4,43
44068-C5,42
44068-C6,42
44068-C7,41
44068-C8,41
44068-D1,44
44068-D2,44
44068-D3,43
44068-D4,43
44068-D5,42
44068-D6,42
44068-D7,41
44068-D8,41
44068-E1,59
44068-E2,59
44068-E3,58
44068-E4,58
44068-E5,57
44068-E6,57
44068-E7,56
44068-E8,56
44068-F1,59
44068-F2,59
44068-F3,58
44068-F4,58
44068-F5,57
44068-F6,57
44068-F7,56
44068-F8,56
44068-G1,76
44068-G2,76
44068-G3,75
44068-G4,75
44068-G5,74
44068-G6,74
44068-G7,73
44068-G8,73
44068-H1,76
44068-H2,76
44068-H3,75
44068-H4,75
44068-H5,74
44068-H6,74
44068-H7,73
44068-H8,73
44069-A1,28
44069-A2,28
44069-A3,27
44069-A4,27
44069-A5,26
44069-A6,26
44069-A7,25
44069-A8,25
44069-B1,28
44069-B2,28
44069-B3,27
44069-B4,27
44069-B5,26
44069-B6,26
44069-B7,25
44069-B8,25
44069-C1,40
44069-C2,40
44069-C3,39
44069-C4,39
44069-C5,38
44069-C6,38
44069-C7,37
44069-C8,37
44069-D1,40
44069-D2,40
44069-D3,39
44069-D4,39
44069-D5,38
44069-D6,38
