County,Abbreviation
Alcona,AA
Alger,AR
Allegan,AE
Alpena,AL
Antrim,AN
Arenac,AC
Baraga,BG
Barry,BA
Bay,BY
Benzie,BZ
Berrien,BE
Branch,BR
Calhoun,CA
Cass,CS
Charlevoix,CX
Cheboygan,CN
Chippewa,CH
Clare,CE
Clinton,CL
Crawford,CR
Delta,DE
Dickinson,DK
Eaton,EA
Emmet,EM
Genesee,GS
Gladwin,GW
Gogebic,GB
Grand Traverse,GT
Gratiot,GR
Hillsdale,HL
Houghton,HO
Huron,HU
Ingham,IN
Ionia,IA
Iosco,IS
Iron,IO
Isabella,IB
Jackson,JA
Kalamazoo,KZ
Kalkaska,KK
Kent,KT
Keweenaw,KE
Lake,LK
Lapeer,LP
Leelanau,LU
Lenawee,LE
Livingston,LV
Luce,LC
Mackinac,MK
Macomb,MB
Manistee,MT
Marquette,MQ
Mason,MN
Mecosta,MC
Menominee,ME
Midland,MD
Missaukee,MA
Monroe,MR
Montcalm,ML
Montmorency,MY
Muskegon,MU
Newaygo,NE
Oakland,OK
Oceana,OA
Ogemaw,OG
Ontonagon,ON
Osceola,OL
Oscoda,OD
Otsego,OE
Ottawa,OT
Presque Isle,PI
Roscommon,RO
Saginaw,SA
St. Clair,SC
St. Joseph,SJ
Sanilac,SL
Schoolcraft,ST
Shiawassee,SE
Tuscola,TU
Van Buren,VA
Washtenaw,WA
Wayne,WN
Wexford,WX
Isle Royale National Park,IR
