County,Abbreviation
Aitkin,AK
Anoka,AN
Becker,BK
Beltrami,BL
Benton,BN
Big Stone,BS
Blue Earth,BE
Brown,BW
Carlton,CL
Carver,CR
Cass,CA
Chippewa,CP
Chisago,CH
Clay,CY
Clearwater,CE
Cook,CK
Cottonwood,CO
Crow Wing,CW
Dakota,DK
Dodge,DO
Douglas,DL
Faribault,FA
Fillmore,FL
Freeborn,FE
Goodhue,GD
Grant,GR
Hennepin,HE
Houston,HU
Hubbard,HB
Isanti,IA
Itasca,IC
Jackson,JK
Kanabec,KA
Kandiyohi,KH
Kittson,KT
Koochiching,KC
Lac qui Parle,LP
Lake,LA
Lake of the Woods,LW
Le Sueur,LE
Lincoln,LN
Lyon,LY
Mahnomen,MH
Marshall,MA
Martin,MR
McLeod,MC
Meeker,ME
Mille Lacs,ML
Morrison,MO
Mower,MW
Murray,MU
Nicollet,NL
Nobles,NO
Norman,NR
Olmsted,OL
Otter Tail,OT
Pennington,PE
Pine,PN
Pipestone,PP
Polk,PL
Pope,PO
Ramsey,RA
Red Lake,RL
Redwood,RW
Renville,RN
Rice,RC
Rock,RK
Roseau,RO
St. Louis,SL
Scott,SC
Sherburne,SH
Sibley,SB
Stearns,SN
Steele,ST
Stevens,SE
Swift,SW
Todd,TO
Traverse,TR
Wabasha,WB
Wadena,WD
Waseca,WE
Washington,WA
Watonwan,WW
Wilkin,WL
Winona,WN
Wright,WR
Yellow Medicine,YM
