County,Abbreviation
Adams,Ad
Alcorn,Al
Amite,Am
Attala,At
Benton,Be
Bolivar,Bo
Calhoun,Ca
Carroll,Cr
Chickasaw,Cs
Choctaw,Ch
Claiborne,Cb
Clarke,Ck
Clay,Cl
Coahoma,Co
Copiah,Cp
Covington,Cv
DeSoto,Ds
Forrest,Fo
Franklin,Fr
George,Ge
Greene,Gn
Grenada,Gr
Hancock,Ha
Harrison,Hr
Hinds,Hi
Holmes,Ho
Humphreys,Hu
Issaquena,Is
Itawamba,It
Jackson,Ja
Jasper,Js
Jefferson,Je
Jefferson Davis,Jd
Jones,Jo
Kemper,Ke
Lafayette,La
Lamar,Lm
Lauderdale,Ld
Lawrence,Lw
Leake,Lk
Lee,Le
Leflore,Lf
Lincoln,Li
Lowndes,Lo
Madison,Md
Marion,Ma
Marshall,Mr
Monroe,Mo
Montgomery,Mt
Neshoba,Ne
Newton,Nw
Noxubee,No
Oktibbeha,Ok
Panola,Pa
Pearl River,Pr
Perry,Pe
Pike,Pi
Pontotoc,Po
Prentiss,Ps
Quitman,Qu
Rankin,Ra
Scott,Sc
Sharkey,Sh
Simpson,Si
Smith,Sm
Stone,St
Sunflower,Su
Tallahatchie,Tl
Tate,Ta
Tippah,Ti
Tishomingo,Ts
Tunica,Tu
Union,Un
Walthall,Wl
Warren,Wr
Washington,Ws
Wayne,Wa
Webster,We
Wilkinson,Wk
Winston,Wi
Yalobusha,Ya
Yazoo,Yz
