County,Abbreviation
Beaverhead,BE
Big Horn,BH
Blaine,BL
Broadwater,BW
Carbon,CB
Carter,CT
Cascade,CA
Chouteau,CH
Custer,CR
Daniels,DN
Dawson,DW
Deer Lodge,DL
Fallon,FA
Fergus,FR
Flathead,FH
Gallatin,GA
Garfield,GF
Glacier,GL
Golden Valley,GV
Granite,GN
Hill,HL
Jefferson,JF
Judith Basin,JT
Lake,LA
Lewis and Clark,LC
Liberty,LT
Lincoln,LN
Madison,MA
McCone,MC
Meagher,ME
Mineral,MN
Missoula,MO
Musselshell,ML
Park,PA
Petroleum,PT
Phillips,PH
Pondera,PN
Powder River,PR
Powell,PW
Prairie,PE
Ravalli,RA
Richland,RL
Roosevelt,RV
Rosebud,RB
Sanders,SA
Sheridan,SH
Silver Bow,SB
Stillwater,ST
Sweet Grass,SW
Teton,TT
Toole,TL
Treasure,TE
Valley,VL
Wheatland,WL
Wibaux,WX
Yellowstone,YL
Yellowstone National Park,YE
Multiple Counties (>3),ZZ
