County,Abbreviation
Adams,AD
Antelope,AP
Arthur,AT
Banner,BN
Blaine,BL
Boone,BO
Box Butte,BX
Boyd,BD
Brown,BW
Buffalo,BF
Burt,BT
Butler,BU
Cass,CC
Cedar,CD
Chase,CH
Cherry,CE
Cheyenne,CN
Clay,CY
Colfax,CX
Cuming,CM
Custer,CU
Dakota,DK
Dawes,DW
Dawson,DS
Deuel,DU
Dixon,DX
Dodge,DD
Douglas,DO
Dundy,DN
Fillmore,FM
Franklin,FR
Frontier,FT
Furnas,FN
Gage,GA
Garden,GD
Garfield,GF
Gosper,GO
Grant,GT
Greeley,GY
Hall,HL
Hamilton,HM
Harlan,HN
Hayes,HY
Hitchcock,HK
Holt,HT
Hooker,HO
Howard,HW
Jefferson,JF
Johnson,JO
Kearney,KN
Keith,KH
Keya Paha,KP
Kimball,KM
Knox,KX
Lancaster,LC
Lincoln,LN
Logan,LO
Loup,LP
McPherson,MP
Madison,MD
Merrick,MK
Morrill,MO
Nance,NC
Nemaha,NH
Nuckolls,NO
Otoe,OT
Pawnee,PW
Perkins,PR
Phelps,PP
Pierce,PC
Platte,PT
Polk,PK
Red Willow,RW
Richardson,RH
Rock,RO
Saline,SA
Sarpy,SY
Saunders,SD
Scotts Bluff,SF
Seward,SW
Sheridan,SH
Sherman,SM
Sioux,SX
Stanton,ST
Thayer,TY
Thomas,TM
Thurston,TS
Valley,VY
Washington,WN
Wayne,WY
Webster,WT
Wheeler,WH
York,YK
