County,Abbreviation
Anderson,AN
Andrews,AD
Angelina,AG
Aransas,AS
Archer,AR
Armstrong,AM
Atascosa,AT
Austin,AU
Bailey,BA
Bandera,BN
Bastrop,BP
Baylor,BY
Bee,BE
Bell,BL
Bexar,BX
Blanco,BC
Borden,BD
Bosque,BQ
Bowie,BW
Brazoria,BO
Brazos,BZ
Brewster,BS
Briscoe,BI
Brooks,BK
Brown,BR
Burleson,BU
Burnet,BT
Caldwell,CW
Calhoun,CL
Callahan,CA
Cameron,CF
Camp,CP
Carson,CZ
Cass,CS
Castro,CAS
Chambers,CH
Cherokee,CE
Childress,CI
Clay,CY
Cochran,CQ
Coke,CK
Coleman,CN
Collin,COL
Collingsworth,CG
Colorado,CD
Comal,CM
Comanche,CJ
Concho,CC
Cooke,CO
Coryell,CV
Cottle,CT
Crane,CR
Crockett,CX
Crosby,CB
Culberson,CU
Dallam,DA
Dallas,DL
Dawson,DS
Deaf Smith,DF
Delta,DT
Denton,DN
DeWitt,DW
Dickens,DK
Dimmit,DM
Donley,DY
Duval,DV
Eastland,EA
Ector,EC
Edwards,ED
Ellis,EL
El Paso,EP
Erath,ER
Falls,FA
Fannin,FN
Fayette,FY
Fisher,FS
Floyd,FL
Foard,FD
Fort Bend,FB
Franklin,FK
Freestone,FT
Frio,FR
Gaines,GA
Galveston,GV
Garza,GR
Gillespie,GL
Glasscock,GC
Goliad,GD
Gonzales,GZ
Gray,GY
Grayson,GS
Gregg,GG
Grimes,GM
Guadalupe,GU
Hale,HA
Hall,HL
Hamilton,HM
Hansford,HF
Hardeman,HX
Hardin,HN
Harris,HR
Harrison,HS
Hartley,HT
Haskell,HK
Hays,HY
Hemphill,HH
Henderson,HE
Hidalgo,HG
Hill,HI
Hockley,HQ
Hood,HD
Hopkins,HP
Houston,HO
Howard,HW
Hudspeth,HZ
Hunt,HU
Hutchinson,HC
Irion,IR
Jack,JA
Jackson,JK
Jasper,JP
Jeff Davis,JD
Jefferson,JF
Jim Hogg,JH
Jim Wells,JW
Johnson,JN
Jones,JS
Karnes,KA
Kaufman,KF
Kendall,KE
Kenedy,KN
Kent,KT
Kerr,KR
Kimble,KM
King,KG
Kinney,KY
Kleberg,KL
Knox,KX
Lamar,LR
Lamb,LA
Lampasas,LM
La Salle,LS
Lavaca,LC
Lee,LE
Leon,LN
Liberty,LB
Limestone,LT
Lipscomb,LP
Live Oak,LK
Llano,LL
Loving,LV
Lubbock,LU
Lynn,LY
Madison,MA
Marion,MR
Martin,MT
Mason,MS
Matagorda,MG
Maverick,MV
McCulloch,MK
McLennan,ML
McMullen,MC
Medina,ME
Menard,MN
Midland,MD
Milam,MM
Mills,MI
Mitchell,MH
Montague,MU
Montgomery,MQ
Moore,MO
Morris,MX
Motley,MY
Nacogdoches,NA
Navarro,NV
Newton,NW
Nolan,NL
Nueces,NU
Ochiltree,OC
Oldham,OL
Orange,OR
Palo Pinto,PP
Panola,PN
Parker,PR
Parmer,PM
Pecos,PC
Polk,PK
Potter,PT
Presidio,PS
Rains,RA
Randall,RD
Reagan,RG
Real,RE
Red River,RR
Reeves,RV
Refugio,RF
Roberts,RB
Robertson,RT
Rockwall,RW
Runnels,RN
Rusk,RK
Sabine,SB
San Augustine,SA
San Jacinto,SJ
San Patricio,SP
San Saba,SS
Schleicher,SL
Scurry,SC
Shackelford,SF
Shelby,SY
Sherman,SH
Smith,SM
Somervell,SV
Starr,SR
Stephens,SE
Sterling,ST
Stonewall,SN
Sutton,SU
Swisher,SW
Tarrant,TR
Taylor,TA
Terrell,TE
Terry,TY
Throckmorton,TH
Titus,TT
Tom Green,TG
Travis,TV
Trinity,TN
Tyler,TL
Upshur,UR
Upton,UT
Uvalde,UV
Val Verde,VV
Van Zandt,VN
Victoria,VT
Walker,WA
Waller,WL
Ward,WR
Washington,WT
Webb,WB
Wharton,WH
Wheeler,WE
Wichita,WC
Wilbarger,WG
Willacy,WY
Williamson,WM
Wilson,WN
Winkler,WK
Wise,WS
Wood,WD
Yoakum,YK
Young,YN
Zapata,ZP
Zavala,ZV
